"type_school","school_accreditation","gender","interest","residence","parent_age","parent_salary","house_area","average_grades","parent_was_in_college","will_go_to_college"
"1","0","1","0","0",48,6710000,90.7,"B+","1","0"
"1","1","1","3","1",54,5370000,38,"B+","0","1"
"1","0","0","0","0",52,5060000,87.3,"B+","1","0"
"1","0","1","4","0",46,3780000,68.6,"B+","1","1"
"1","0","1","0","0",50,7230000,93.8,"B+","1","0"
"0","0","1","2","1",53,6210000,84.3,"B+","1","0"
"1","0","1","4","0",49,7900000,75.8,"B+","1","0"
"1","1","1","2","1",56,4120000,67,"B+","0","1"
"0","1","1","0","0",52,5860000,68.9,"B+","1","0"
"1","1","1","2","0",51,4760000,87.1,"B+","0","1"
"1","1","0","2","1",57,2940000,79.7,"B+","0","1"
"1","0","0","2","1",50,3230000,64.8,"B+","1","1"
"1","0","0","4","1",50,6740000,71.2,"B+","0","0"
"1","1","0","2","0",53,5680000,81.3,"B+","0","1"
"1","0","0","2","1",55,1660000,92.1,"B+","0","1"
"1","0","1","2","1",54,3210000,106.9,"B+","0","0"
"1","1","0","2","0",52,5720000,81.7,"B+","0","1"
"1","0","0","4","0",52,6720000,89.8,"B+","1","0"
"1","1","1","0","1",58,5060000,62.1,"B+","0","1"
"1","1","1","2","1",52,3320000,64.6,"B+","0","1"
"1","0","0","3","1",60,3540000,64.7,"B+","0","1"
"0","0","0","3","1",52,5290000,41.7,"B+","0","1"
"1","0","0","4","0",49,7710000,92.3,"B+","1","0"
"0","0","0","0","1",55,4730000,69.5,"B+","0","1"
"0","1","1","0","0",50,6630000,98.5,"B+","1","0"
"0","0","0","3","1",51,4020000,62.8,"B+","1","1"
"0","1","1","2","0",44,8370000,65.3,"B+","0","1"
"1","1","1","0","0",53,5660000,76.9,"B+","0","0"
"1","1","0","4","0",51,5460000,80.6,"B+","0","1"
"1","1","0","3","1",54,5670000,65.4,"B+","0","1"
"1","1","1","2","1",46,4980000,47.8,"B+","0","1"
"1","0","0","0","0",49,6910000,84.6,"B+","1","0"
"1","1","1","0","1",51,5550000,68.2,"B+","0","0"
"0","0","1","1","0",49,5520000,65.3,"B+","1","0"
"1","0","0","0","0",48,7310000,105.5,"B+","1","0"
"1","1","1","0","0",53,5390000,47.1,"B+","1","1"
"1","1","0","4","0",47,5840000,90.2,"B+","1","1"
"0","0","1","1","0",55,4450000,77.4,"B+","1","1"
"1","0","1","4","0",48,3440000,58.3,"B+","1","1"
"1","1","1","4","1",53,3310000,66.6,"B+","0","1"
"0","0","1","1","0",53,4110000,73.2,"B+","1","1"
"1","1","1","4","1",56,3380000,69.1,"B+","0","1"
"0","1","0","2","1",54,6530000,66.6,"B+","0","0"
"1","0","0","4","1",54,4120000,80.8,"B+","0","0"
"0","0","0","4","0",51,5310000,70.9,"B+","1","1"
"1","1","0","2","1",55,4880000,95.1,"B+","0","0"
"1","0","1","2","1",55,5780000,85.1,"B+","1","0"
"0","1","1","3","1",47,6410000,20,"B+","0","1"
"0","1","0","4","1",59,3800000,66.6,"B+","0","1"
"1","1","0","3","1",60,3860000,70.5,"B+","0","1"
"1","1","1","4","1",56,3390000,80.5,"B+","0","1"
"1","0","0","2","0",47,5100000,40.6,"B+","1","1"
"0","1","1","0","0",50,6920000,91.5,"B+","1","0"
"1","0","1","4","1",55,2920000,67,"B+","1","1"
"1","0","0","2","0",46,4010000,58.5,"B+","1","1"
"1","1","1","4","1",53,4510000,66.7,"B+","0","1"
"0","1","0","2","0",48,5750000,66.9,"B+","0","1"
"1","0","1","4","1",54,5250000,69.6,"B+","1","0"
"0","1","0","4","1",53,4360000,75.2,"B+","0","1"
"0","1","1","4","0",51,5940000,62.8,"B+","0","1"
"1","0","1","2","1",52,3640000,59.4,"B+","1","1"
"0","0","0","3","1",58,5060000,48.4,"B+","0","1"
"1","0","1","4","1",54,5560000,79.9,"B+","1","0"
"1","1","0","0","0",54,8650000,76.7,"B+","1","0"
"1","0","1","2","0",40,3810000,44.7,"B+","1","1"
"0","0","0","0","0",52,6450000,65.1,"B+","1","1"
"1","1","0","1","0",53,5810000,107.1,"B+","1","0"
"1","0","1","0","0",50,6250000,79.9,"B+","1","0"
"0","1","1","0","1",52,4740000,76,"B+","0","0"
"1","1","1","2","1",52,3260000,57.1,"B+","0","1"
"1","1","0","2","1",50,4660000,51.1,"B+","0","1"
"0","1","0","4","0",51,5140000,67.6,"B+","0","1"
"0","0","0","0","0",52,6230000,84.4,"B+","1","1"
"1","0","0","2","1",46,3800000,57.4,"B+","1","1"
"1","0","1","0","0",51,5630000,93.5,"B+","1","0"
"1","0","1","4","1",55,6340000,91.6,"B+","0","0"
"1","1","0","2","1",51,4860000,54.3,"B+","0","1"
"1","0","1","4","1",54,7570000,71.3,"B+","1","0"
"1","0","1","4","0",51,5950000,86.2,"B+","1","0"
"0","1","1","1","1",52,5240000,60.2,"B+","1","0"
"0","0","1","1","0",52,5480000,56.1,"B+","1","0"
"0","0","1","4","0",43,6800000,76.2,"B+","1","1"
"1","0","0","2","1",55,6490000,72.5,"B+","0","1"
"1","1","1","2","1",47,4600000,52.7,"B+","1","1"
"1","0","1","4","0",52,5500000,97.7,"B+","1","0"
"1","1","0","4","1",57,6690000,89.8,"B+","0","0"
"1","0","0","0","0",52,5090000,96.2,"B+","1","0"
"1","0","1","4","0",46,3470000,61.2,"B+","1","1"
"1","1","1","2","1",50,6840000,53.5,"B+","0","1"
"0","0","0","2","0",48,4640000,51.7,"B+","1","1"
"1","1","1","0","1",50,5580000,62.4,"B+","0","0"
"0","0","1","0","0",49,6740000,81.5,"B+","1","1"
"1","1","1","0","0",52,6450000,82.3,"B+","1","0"
"1","0","1","4","0",43,3800000,48.5,"B+","1","1"
"0","1","1","4","0",50,6400000,81.3,"B+","0","0"
"1","1","1","2","1",50,4640000,50.8,"B+","0","1"
"1","1","1","2","0",46,5570000,35.2,"B+","0","1"
"1","0","0","1","1",56,6090000,75.8,"B+","0","0"
"1","0","1","2","1",57,3070000,75.8,"B+","0","1"
"1","1","0","2","1",57,3370000,71.6,"B+","0","1"
"1","0","0","2","1",59,5170000,83.4,"B+","0","0"
"1","1","1","2","1",54,5920000,88.2,"B+","0","0"
"1","1","0","4","1",51,7320000,77.6,"B+","0","0"
"1","1","0","2","1",51,6670000,71.6,"B+","0","1"
"1","1","0","0","1",55,2450000,86.4,"B+","0","1"
"0","0","1","1","0",50,4740000,96.9,"B+","1","1"
"0","0","1","3","1",53,5370000,38.1,"B+","0","1"
"1","1","1","4","1",54,4590000,79.5,"B+","0","0"
"1","0","0","4","0",51,7310000,90.8,"B+","1","0"
"1","1","1","2","1",53,3890000,56.7,"B+","0","1"
"1","0","1","4","0",50,3440000,76.4,"B+","1","1"
"1","0","0","1","1",55,5010000,86.3,"B+","0","0"
"1","0","0","2","1",53,3460000,71.8,"B+","1","1"
"1","0","0","4","0",52,6370000,89.4,"B+","1","0"
"1","0","1","4","1",55,5770000,74.3,"B+","0","1"
"1","1","1","1","1",59,4390000,115.7,"B+","0","0"
"0","1","1","2","0",49,6900000,68.4,"B+","1","0"
"0","0","0","1","0",55,3030000,103.4,"B+","1","1"
"1","0","0","0","0",51,7120000,105.9,"B+","1","0"
"1","0","0","4","1",58,5280000,78,"B+","0","0"
"0","1","1","0","1",48,5870000,56.5,"B+","0","1"
"1","0","1","2","1",50,3540000,58.8,"B+","1","1"
"1","0","1","4","0",49,3340000,64.3,"B+","1","1"
"1","1","0","3","1",58,5520000,64,"B+","0","1"
"0","0","1","4","0",51,5010000,78.7,"B+","0","1"
"0","1","1","0","0",50,6740000,80.4,"B+","1","0"
"1","1","1","4","1",51,5480000,77.3,"B+","0","0"
"1","1","0","0","0",43,4160000,63.5,"B+","1","1"
"0","0","0","3","1",53,4480000,52.5,"B+","1","1"
"1","0","1","3","1",56,3090000,69.4,"B+","0","1"
"1","1","0","0","0",50,6530000,100.1,"B+","1","0"
"1","1","0","3","1",54,4350000,55.2,"B+","0","1"
"0","1","0","3","0",47,8380000,81.2,"B+","1","0"
"0","1","0","4","1",54,5920000,69.3,"B+","0","0"
"0","0","1","2","1",53,6110000,75.6,"B+","1","0"
"1","0","0","0","0",51,5770000,78,"B+","1","0"
"1","1","1","4","1",55,4650000,74.9,"B+","0","1"
"1","0","0","3","1",49,5040000,35.7,"B+","0","1"
"1","0","0","4","0",52,4160000,58.6,"B+","1","1"
"0","0","0","4","1",56,6040000,75.6,"B+","1","0"
"1","1","1","2","1",52,3920000,91.1,"B+","0","0"
"1","0","1","2","1",58,3020000,81.2,"B+","1","1"
"0","1","0","4","1",50,5810000,59.1,"B+","0","1"
"0","1","1","1","0",55,4330000,68.5,"B+","0","1"
"0","0","0","1","0",53,3680000,85.9,"B+","1","1"
"0","0","1","4","0",51,6440000,114.8,"B+","1","0"
"0","0","1","1","0",53,6040000,74.9,"B+","1","1"
"1","1","0","2","1",53,3110000,73.1,"B+","0","1"
"0","1","0","3","1",50,6610000,62.4,"B+","1","0"
"0","1","1","0","0",48,6190000,68,"B+","1","1"
"1","0","0","4","1",56,3260000,62.1,"B+","0","1"
"0","0","0","0","0",55,4660000,82.4,"B+","1","1"
"0","1","1","2","1",58,5570000,51.1,"B+","0","0"
"1","1","1","2","1",57,4420000,60.6,"B+","0","1"
"0","0","1","0","0",48,6180000,76,"B+","1","1"
"1","1","0","2","1",56,5360000,86.3,"B+","0","1"
"1","1","0","0","0",55,3830000,77.5,"B+","1","1"
"1","1","0","3","1",54,6860000,74.9,"B+","0","1"
"1","0","1","0","0",48,4260000,75.9,"B+","1","0"
"1","1","0","2","1",51,9410000,76.2,"B+","0","0"
"1","0","1","2","0",44,3280000,62.8,"B+","1","1"
"1","0","0","3","1",57,3740000,63,"B+","0","1"
"1","0","0","3","1",55,4060000,62.2,"B+","1","1"
"1","1","1","4","1",47,3940000,52.2,"B+","0","1"
"1","1","1","2","1",53,6690000,91.3,"B+","0","0"
"0","0","1","0","0",47,5910000,99.7,"B+","1","1"
"1","1","0","2","1",54,4180000,64.4,"B+","0","1"
"1","1","0","4","0",52,5720000,40.6,"B+","1","1"
"0","1","0","0","0",53,5540000,96,"B+","1","0"
"1","0","0","0","0",49,6290000,84.9,"B+","1","0"
"1","1","0","4","1",59,1790000,90.5,"B+","0","1"
"1","1","1","4","1",57,2740000,89.8,"B+","0","1"
"1","0","0","2","0",54,5290000,89.3,"B+","1","1"
"1","0","1","0","0",47,6650000,94.4,"B+","1","0"
"1","0","0","1","0",50,4910000,76.2,"B+","1","0"
"0","0","1","0","0",47,6610000,87.9,"B+","1","1"
"1","0","1","2","1",52,4090000,63.1,"B+","1","1"
"1","0","0","4","0",53,7300000,95.9,"B+","0","0"
"0","0","0","3","0",51,7220000,82.3,"B+","1","0"
"0","1","0","4","0",51,6480000,96.7,"B+","1","0"
"1","0","1","0","0",51,5040000,91,"B+","1","0"
"0","1","0","4","1",53,4530000,67,"B+","0","1"
"0","1","0","4","1",49,5530000,57.1,"B+","0","1"
"1","1","1","4","1",53,8430000,81,"B+","0","0"
"1","0","0","4","0",52,5810000,87.8,"B+","1","1"
"1","1","0","3","1",51,5340000,46.9,"B+","0","1"
"0","1","0","4","1",54,5780000,69.3,"B+","0","0"
"1","1","1","2","1",52,10000000,87.6,"B+","0","0"
"1","0","0","0","0",51,6120000,79,"B+","1","0"
"1","1","1","3","1",58,4640000,57,"B+","0","1"
"0","1","1","2","1",59,4700000,101.1,"B+","0","0"
"0","1","0","4","0",49,6580000,76.7,"B+","1","1"
"1","1","1","4","1",51,7320000,82.5,"B+","0","0"
